period(s),gaslimit,tps(tx/s),latency(ms),contracttime(渭s),dbreaadtime(渭s),dbwritetime(渭s),blockcommittime(ms)
7,23400000,163.2653061,26004.22347,6.107645327,5284.954625,10478.31638,6995.285714
7,23550000,163.2653061,25802.26347,6.102745696,5702.8005,10881.19113,6994.428571
7,23700000,163.2653061,25614.61192,6.092947323,6553.772625,10460.7765,6993.714286
7,23850000,163.2653061,25473.41995,6.087953903,5820.210375,10759.30975,6994.571429
7,24000000,163.2653061,25286.8064,6.086437181,5792.5365,17262.4805,6994.285714
7,24150000,163.2653061,25097.57293,6.070940449,5319.9105,10845.28188,6993.285714
7,24300000,163.2653061,24875.01762,6.065445877,3873.934625,11716.4255,6996.142857
7,24450000,163.2653061,24715.32271,6.061045568,5724.005625,11646.43125,6994.142857
7,24600000,163.2653061,24458.59655,6.052540541,9450.651875,10556.45575,6986.428571
7,24750000,163.2653061,24286.92638,6.046436285,5121.524125,10954.28963,6992.857143
7,24900000,163.2653061,24118.24922,6.039909395,6925.526125,10595.235,6992.142857
7,25050000,163.2653061,23926.76803,6.032212885,5316.65275,10617.15525,6993.857143
7,25200000,163.2653061,23733.97438,6.026151528,6579.533375,11011.46825,6992.428571
7,25350000,163.2653061,23486.88176,6.019671074,12430.65988,10635.9625,6984.571429
7,25500000,163.2653061,23456.85827,6.019226638,6365.5345,10592.4155,6991.857143
7,25650000,163.2653061,23383.88901,6.010311493,5882.977,10728.6495,6993
7,25800000,163.2653061,23354.58705,6.015252417,6054.964375,10634.39262,6992.428571
7,25950000,163.2653061,23381.74378,6.016219119,7265.1195,10981.89388,6991
7,26100000,163.2653061,23451.40257,6.014070892,6302.90125,10452.45925,6987.857143
7,26250000,163.2653061,23464.04212,6.015037594,5635.317125,15638.46138,6993
7,26400000,163.2653061,23451.89764,6.01471536,5609.109375,10772.70462,6992
7,26550000,163.2653061,23455.26584,6.015359828,5533.778875,10971.97813,6993.142857
7,26700000,163.2653061,23460.73291,6.01471536,6145.18775,10795.233,6992.142857
7,26850000,163.2653061,23414.51581,6.015359828,8626.854375,11563.611,6990
7,27000000,163.2653061,23429.05249,6.016004296,5968.208625,10400.82687,6992.571429
7,27150000,163.2653061,23513.94426,6.01396348,6192.36875,10868.02437,6992.571429
7,27300000,163.2653061,23401.08699,6.014930183,8905.75625,10866.965,6988.857143
7,27450000,163.2653061,23461.98613,6.01546724,6807.613125,11101.18088,6991
7,27600000,163.2653061,23378.69254,6.015252417,9454.93075,11500.92063,6982.142857
7,27750000,163.2653061,23441.23235,6.016433942,6967.486,12052.32188,6989
7,27900000,163.2653061,23442.85252,6.016326531,11548.93062,10563.999,6985.142857
7,28050000,163.2653061,23444.14936,6.011707841,8583.7075,10991.21975,6988.428571
7,28200000,163.2653061,23479.75003,6.018689581,6384.466875,10228.91088,6992
7,28350000,163.2653061,23487.63105,6.010311493,5897.116125,11070.32613,6992.714286
7,28500000,163.2653061,23461.08049,6.014930183,6998.80175,11860.95638,6990.714286
7,28650000,163.2653061,23414.68641,6.015359828,7862.26775,12492.78838,6990.142857
7,28800000,163.2653061,23432.44307,6.015145005,13415.27313,11516.442,6984.571429
7,28950000,163.2653061,23427.44682,6.018367347,7478.80775,11590.0745,6990.714286
7,29100000,163.2653061,23450.12648,6.011707841,5031.878625,20458.515,6993.857143
7,29250000,163.2653061,23419.15223,6.015037594,5676.388125,11219.88525,6993.428571
7,29400000,163.2653061,23431.42895,6.015145005,6367.551125,11214.03325,6992
7,29550000,163.2653061,23424.20022,6.014285714,13164.103,11015.85688,6982.714286
7,29700000,163.2653061,23416.27547,6.015789474,6066.193125,11475.74013,6992.714286
7,29850000,163.2653061,23443.63817,6.014607948,6516.33675,11350.675,6991.142857
8,15150000,71.42857143,54659.89289,85151356.17,4605.9858,3895.7804,7993.357143
8,15300000,76.92307692,53820.56355,12.99199722,3737.831714,4743.302071,7994.923077
8,15450000,76.92307692,53103.4177,12.97648013,3264.149643,5182.301071,7995.153846
8,15600000,76.92307692,52319.31559,12.96273579,5230.773429,5575.376,7993.076923
8,15750000,76.92307692,51513.43695,12.9460178,5689.250714,6198.079714,7992.538462
8,15900000,76.92307692,50763.68954,12.92784576,3362.3475,5981.511571,7995.307692
8,16050000,83.33333333,50011.31984,11.99458026,4348.764077,6419.594154,7994.75
8,16200000,83.33333333,49348.03837,11.98007372,4938.930462,6813.499615,7993.916667
8,16350000,83.33333333,48736.5758,11.9657156,3337.951231,6391.712154,7995.916667
8,16500000,83.33333333,48082.14998,11.9486325,6231.718385,7072.263538,7991.166667
8,16650000,83.33333333,47376.28196,11.93663912,3277.450769,7264.732231,7996
8,16800000,83.33333333,46748.85027,11.92536116,9641.237308,6556.907077,7987.083333
8,16950000,90.90909091,46097.02,10.99599175,3454.365167,6612.063667,7996
8,17100000,90.90909091,45581.36158,10.97940975,3608.892917,6049.242083,7995.818182
8,17250000,90.90909091,45096.6318,10.96869287,6107.014167,6079.436917,7992.181818
8,17400000,90.90909091,44518.33571,10.95845697,4382.94375,6894.673417,7994.909091
8,17550000,90.90909091,43978.81452,10.94151847,4042.258333,6238.969833,7995
8,17700000,90.90909091,43375.16898,10.93110909,7602.5165,5998.091083,7991.272727
8,17850000,90.90909091,42853.01962,10.91799363,4335.22525,6137.258333,7994
8,18000000,100,42285.53793,9.999886402,4296.548,7421.387091,7994.7
8,18150000,100,41880.84927,9.984568251,7305.900636,6615.293091,7991.5
8,18300000,100,41430.97238,9.978349581,6849.961,8854.414545,7991.8
8,18450000,100,40965.90426,9.960031703,3613.032727,6996.357818,7993.3
8,18600000,100,40506.64692,9.952273241,4363.194455,7565.061909,7995.1
8,18750000,100,40085.86939,9.940804338,4241.071909,8622.460545,7995.2
8,18900000,100,39611.04874,9.930489731,4272.147727,8920.623909,7993.4
8,19050000,100,39125.94501,9.916826327,5321.486727,7969.667636,7993.3
8,19200000,100,38636.48894,9.906225374,4686.925,8130.616455,7993.8
8,19350000,111.1111111,38219.38058,8.999662694,6002.2399,7840.8201,7994.222222
8,19500000,111.1111111,37899.35483,8.984274963,4848.0585,8721.3287,7994.777778
8,19650000,111.1111111,37555.27847,8.973858409,4334.6867,11550.8601,7994
8,19800000,111.1111111,37218.69666,8.968060069,6252.4779,8706.7832,7993
8,19950000,111.1111111,36928.35458,8.953543043,6217.1459,8416.4054,7992.111111
8,20100000,111.1111111,36519.88864,8.945208543,8198.4216,8347.4369,7989.777778
8,20250000,111.1111111,36111.42632,8.935552329,6473.1453,9670.0097,7991.777778
