period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
18,16500000,5.04ms,9157.657555555554µs,3727.536740740741µs,4984.833333333333ms,63.49206349,17973.583789159624ms,3.015577997421573ms
18,18000000,5.45ms,9137.420222222223µs,3598.656754716982µs,4988.5ms,63.49206349,17536.75743385624ms,3.0124623979372585ms
18,19500000,4.39ms,9138.136µs,3512.388346938775µs,4988.833333333333ms,63.49206349,17072.75016774771ms,3.0122475290073054ms
18,21000000,5.1ms,9293.244222222222µs,3545.3673396226413µs,4990.333333333333ms,63.49206349,16654.960268827832ms,3.0122475290073054ms
18,22500000,4.72ms,9104.356444444444µs,3967.0232708333333µs,4987.333333333333ms,63.49206349,17187.220480668755ms,3.0131070047271167ms
18,24000000,5ms,11047.586555555557µs,3496.8078260869574µs,4989ms,63.49206349,16412.70743884174ms,3.0122475290073054ms
18,25500000,5.22ms,10215.312777777777µs,3346.6702142857143µs,4984.833333333333ms,63.49206349,17164.93198488553ms,3.0118177911474002ms
18,27000000,5.04ms,9477.337222222222µs,3995.5914390243897µs,4988.5ms,63.49206349,17658.333333333332ms,3.012032660077353ms
18,28500000,4.27ms,9304.659111111112µs,3714.31929787234µs,4989.833333333333ms,63.49206349,16705.035063113606ms,3.0124623979372585ms
18,30000000,4.76ms,8916.235555555557µs,3444.9723965517237µs,4988.833333333333ms,63.49206349,17393.338401290024ms,3.0148259561667383ms
19,15000000,5.51ms,8360.749777777777µs,4026.100482142858µs,4989.666666666667ms,60.15037594,16032.31932938856ms,3.0112806188225183ms
19,16500000,5.95ms,8679.367333333334µs,3761.555981818182µs,4990.166666666667ms,60.15037594,17514.288334995013ms,3.012140094542329ms
19,18000000,5.5ms,8946.44411111111µs,4442.212274509805µs,4986ms,60.15037594,16268.02697495183ms,3.0127847013321873ms
19,19500000,5.58ms,8994.424222222222µs,3476.6321041666665µs,4991ms,60.15037594,16779.22773075373ms,3.0122475290073054ms
19,21000000,5.46ms,9274.095111111112µs,3419.7451489361715µs,4987.166666666667ms,60.15037594,16453.95218614165ms,3.011602922217447ms
19,22500000,4.52ms,9089.138333333334µs,3303.2167073170735µs,4989.666666666667ms,60.15037594,16902.875622882202ms,3.0118177911474002ms
19,24000000,3.65ms,9066.889222222222µs,3865.287945454545µs,4984.833333333333ms,60.15037594,17530.704311152764ms,3.0122475290073054ms
19,25500000,4.16ms,12456.793µs,2859.2738666666664µs,4989.833333333333ms,60.15037594,16704.90810691407ms,3.0127847013321873ms
19,27000000,4.3ms,8884.203555555556µs,4136.079891304349µs,4986.333333333333ms,60.15037594,16325.622203811103ms,3.013644177051998ms
19,28500000,4.24ms,9238.972666666667µs,3609.5455999999995µs,4989ms,60.15037594,15774.065783356578ms,3.0175118177911475ms
19,30000000,4.64ms,9346.687999999998µs,3440.1059523809527µs,4989.666666666667ms,60.15037594,17215.59756877799ms,3.0119252256123765ms
20,15000000,4.57ms,9522.267777777779µs,3457.070627906977µs,4989.166666666667ms,57.14285714,17358.420669246527ms,3.0122475290073054ms
20,16500000,4.77ms,9424.873777777779µs,4144.059117647059µs,4989.166666666667ms,57.14285714,17438.863050075874ms,3.0118177911474002ms
20,18000000,5.09ms,9245.257µs,3404.334469387756µs,4989.166666666667ms,57.14285714,16740.108376608714ms,3.011710356682424ms
20,19500000,4.65ms,9419.300555555557µs,3408.7580576923083µs,4987ms,57.14285714,18150.80434315201ms,3.0119252256123765ms
20,21000000,4.83ms,9352.683555555554µs,3450.4200392156863µs,4990.166666666667ms,57.14285714,16427.966796875ms,3.011602922217447ms
20,22500000,5.47ms,9596.002777777778µs,3794.687895833333µs,4986.5ms,57.14285714,16881.187604690116ms,3.012140094542329ms
20,24000000,4.25ms,9168.306888888888µs,4320.335320000001µs,4984.666666666667ms,57.14285714,16976.80089153046ms,3.0127847013321873ms
20,25500000,4.37ms,9136.027µs,3823.3656595744665µs,4987.166666666667ms,57.14285714,17693.16417910448ms,3.0119252256123765ms
20,27000000,4.64ms,9423.538222222223µs,3419.25544µs,4989.666666666667ms,57.14285714,17818.369951534733ms,3.0124623979372585ms
20,28500000,5.07ms,9585.889333333334µs,3952.9302142857146µs,4989.5ms,57.14285714,17447.861152141802ms,3.0139664804469275ms
20,30000000,4.83ms,9191.171333333334µs,3115.414211538461µs,4989.333333333333ms,57.14285714,17339.347111014933ms,3.0118177911474002ms
21,15000000,4.35ms,12210.655222222222µs,3238.531425925926µs,4988.5ms,54.42176871,17335.50400519593ms,3.0119252256123765ms
21,16500000,4.6ms,9095.02811111111µs,4299.116660714286µs,4984.666666666667ms,54.42176871,17375.09129943503ms,3.0119252256123765ms
21,18000000,5.84ms,9734.851444444444µs,3884.526166666666µs,4988.833333333333ms,54.42176871,17285.59391732705ms,3.0123549634722817ms
21,19500000,4.76ms,9227.571444444442µs,3573.3342954545456µs,4984.5ms,54.42176871,16394.730128205127ms,3.01299957026214ms
21,21000000,5.13ms,9571.732777777777µs,3469.479224489795µs,4988.5ms,54.42176871,17163.16763652641ms,3.0118177911474002ms
21,22500000,4.21ms,9859.742µs,3837.5073265306123µs,4990.5ms,54.42176871,17447.372419018753ms,3.0119252256123765ms
21,24000000,4.8ms,9148.447333333335µs,3016.7955098039215µs,4989.166666666667ms,54.42176871,16153.946350043976ms,3.0112806188225183ms
21,25500000,5.23ms,9298.63211111111µs,3909.2716875000006µs,4989.666666666667ms,54.42176871,16666.529649595686ms,3.012140094542329ms
21,27000000,5.14ms,8655.035777777779µs,3933.4103673469376µs,4989.166666666667ms,54.42176871,16588.30207817912ms,3.0133218736570693ms
21,28500000,4.61ms,8930.326111111111µs,3169.917227272727µs,4989.666666666667ms,54.42176871,16823.31283068783ms,3.012140094542329ms
21,30000000,4.72ms,9628.412555555555µs,3295.536399999999µs,4987.666666666667ms,54.42176871,17741.58356873823ms,3.013214439192093ms
22,15000000,4.5ms,9930.446µs,3339.1271666666667µs,4985.666666666667ms,51.94805195,16145.841266277503ms,3.012140094542329ms
22,16500000,3.83ms,9457.027666666667µs,3457.663291666667µs,4988.166666666667ms,51.94805195,16859.55183689171ms,3.0118177911474002ms
22,18000000,4.15ms,9601.78711111111µs,3169.268319999999µs,4989.833333333333ms,51.94805195,16943.759560338905ms,3.0125698324022347ms
22,19500000,4.9ms,9180.280222222224µs,3356.9826785714286µs,4989.833333333333ms,51.94805195,17090.982139534884ms,3.0118177911474002ms
22,21000000,3.97ms,10720.991666666667µs,3784.5634791666675µs,4986.666666666667ms,51.94805195,17486.962316641377ms,3.0166523420713367ms
22,22500000,5.45ms,8831.876444444444µs,3376.802632653061µs,4983.833333333333ms,51.94805195,17911.40661641541ms,3.013536742587022ms
